id,category,question,expected_answer,source_docs,answerable,difficulty,tags,latency_seconds,retrieved_count,retrieved_identifiers,hit_at_k,first_relevant_rank,reciprocal_rank,error
Q011,api,调用订单写接口必须携带哪些请求头？,Authorization、X-Tenant-ID、X-Request-ID和Idempotency-Key。,03_api/06_authentication_api.md;03_api/07_order_api.md,yes,medium,multi-source,6.36,0,[],False,,0,
Q012,api,访问Token和刷新令牌分别有效多久？,访问Token默认60分钟，刷新令牌30天。,03_api/06_authentication_api.md,yes,easy,auth,4.035,0,[],False,,0,
Q013,security,服务账号密钥多久轮换一次？,最长90天轮换一次，新旧密钥允许并存24小时用于过渡。,03_api/06_authentication_api.md;06_security/22_secrets_management.md,yes,medium,multi-source,4.785,0,[],False,,0,
Q014,api,Webhook签名使用什么算法和拼接内容？,HMAC-SHA256，签名内容为timestamp加点号再加原始请求体。,03_api/06_authentication_api.md,yes,medium,exact,4.785,0,[],False,,0,
Q015,api,创建订单成功返回什么HTTP状态码？,HTTP 201。,03_api/07_order_api.md,yes,easy,exact,2.765,0,[],False,,0,
Q016,api,订单v2幂等键保留多久？,当前版本在同一租户内保留24小时。,03_api/07_order_api.md;09_changes/28_changelog_2026.md,yes,medium,version-conflict,4.377,0,[],False,,0,
Q017,api,同一个幂等键对应不同请求体会怎样？,返回HTTP 409和错误码ORDER_009。,03_api/07_order_api.md,yes,easy,edge-case,4.65,0,[],False,,0,
Q018,api,已支付订单可以直接调用取消接口吗？,不可以，已支付订单必须走退款流程。,03_api/07_order_api.md,yes,easy,business-rule,4.651,0,[],False,,0,
Q019,api,库存预占默认有效期是多少？,15分钟，超时后释放未确认预占。,03_api/08_inventory_api.md,yes,easy,metric,4.654,0,[],False,,0,
Q020,api,Webhook失败后的重试时间序列是什么？,1、5、30、120、600分钟，最多5次。,03_api/09_webhook_spec.md,yes,medium,exact,3.126,0,[],False,,0,
Q021,api,人工重放Webhook会生成新的event_id吗？,不会，重放保留原始event_id，接收端必须幂等。,03_api/09_webhook_spec.md,yes,medium,edge-case,0.977,0,[],False,,0,
Q022,deployment,生产服务最少部署几个副本？,至少3个副本。,04_deployment/11_kubernetes_deployment.md,yes,easy,kubernetes,0.976,0,[],False,,0,
Q023,deployment,Java服务startup探针最长允许多久？,最长180秒。,04_deployment/11_kubernetes_deployment.md,yes,easy,kubernetes,0.974,0,[],False,,0,
Q024,deployment,金丝雀发布的放量顺序是什么？,5%、25%、50%、100%，每阶段至少观察10分钟。,04_deployment/12_release_and_rollback.md,yes,easy,release,0.585,0,[],False,,0,
Q025,deployment,哪些指标会立即停止发布放量？,包括5xx较基线增加1个百分点、P95增加30%、订单成功率低于99%，或出现租户隔离/数据完整性告警。,04_deployment/12_release_and_rollback.md,yes,medium,release,0.498,0,[],False,,0,
Q026,deployment,数据库回填在什么CPU条件下必须暂停？,数据库CPU超过80%并持续5分钟时暂停；复制延迟超过30秒或锁等待超过10秒也要暂停。,04_deployment/13_database_migration.md,yes,medium,database,0.497,0,[],False,,0,
Q027,operations,什么情况属于P1事件？,核心功能大面积降级，影响超过20%活跃租户或持续超过15分钟。,05_operations/14_monitoring_and_alerts.md,yes,easy,incident,0.498,0,[],False,,0,
Q028,operations,P1告警确认时间目标是多少？,10分钟。,05_operations/14_monitoring_and_alerts.md,yes,easy,incident,0.497,0,[],False,,0,
Q029,operations,订单在PENDING_INVENTORY多久算异常候选？,超过2分钟。,05_operations/16_runbook_order_stuck.md,yes,easy,runbook,0.474,0,[],False,,0,
Q030,operations,订单积压时把消费者从6扩到12之前要检查什么？,确认数据库CPU低于70%。,05_operations/16_runbook_order_stuck.md,yes,medium,runbook,0.474,0,[],False,,0,
Q031,operations,只有一个Kafka分区积压时无限增加消费者有效吗？,无效。消费者数量超过分区数不能提高该分区吞吐，应检查分区不均或毒消息。,05_operations/18_runbook_kafka_backlog.md,yes,medium,reasoning,0.474,0,[],False,,0,
Q032,operations,可以直接跳过Kafka Offset来清除核心消息积压吗？,不可以。确需调整必须双重批准、导出影响范围并准备重放方案。,05_operations/18_runbook_kafka_backlog.md,yes,easy,safety,0.474,0,[],False,,0,
Q033,operations,支付成功但订单没更新时首先要核对哪些信息？,收集租户、订单号、渠道交易号和支付时间，再检查回调验签、去重记录、支付事件及订单状态。,05_operations/19_runbook_payment_callback.md,yes,medium,runbook,0.441,0,[],False,,0,
Q034,operations,PostgreSQL CPU过高时能否直接重启主库？,不能。优先暂停回填和报表、限流异常租户并识别长查询。,05_operations/17_runbook_database_high_cpu.md,yes,easy,safety,0.441,0,[],False,,0,
Q035,security,普通研发申请生产临时写权限最长多久？,最长4小时，申请需包含工单、操作范围和回滚计划。,06_security/20_access_control.md,yes,easy,permission,0.441,0,[],False,,0,
Q036,security,哪些数据属于L4严格机密？,密码、私钥、完整Token、支付敏感信息和加密主密钥。,06_security/21_data_classification.md,yes,easy,classification,0.442,0,[],False,,0,
Q037,security,发现API Key泄露后只删除聊天消息够吗？,不够。必须立即吊销或轮换、检查使用记录并通知安全团队。,06_security/20_access_control.md;06_security/22_secrets_management.md,yes,medium,safety,0.466,0,[],False,,0,
Q038,product,2026年企业版月度可用性目标是多少？,99.95%。应采用2026版有效SLA。,07_product/23_sla_and_support.md,yes,medium,version-conflict,0.466,0,[],False,,0,
Q039,product,2024年企业版历史SLA目标是多少？,历史政策为99.9%，但该文档已失效，当前规则不是这个数值。,10_legacy/30_old_sla_2024.md,yes,medium,historical,0.463,0,[],False,,0,
Q040,product,当前企业版P0首次响应时间是多少？,15分钟。,07_product/23_sla_and_support.md,yes,medium,version-conflict,0.463,0,[],False,,0,
Q041,product,退款通常多久能到账？,通常1至3个工作日，具体取决于支付渠道。,07_product/24_refund_policy.md,yes,easy,business-rule,0.599,0,[],False,,0,
Q042,product,多大金额的人工退款需要财务复核？,超过5000元人民币。,07_product/24_refund_policy.md,yes,easy,business-rule,0.598,0,[],False,,0,
Q043,product,客户为什么可能收到重复Webhook？,平台采用至少一次投递，网络重试可能重复；客户应按事件ID去重。,07_product/25_customer_faq.md;03_api/09_webhook_spec.md,yes,medium,multi-source,0.598,0,[],False,,0,
Q044,postmortem,2026-03-12库存积压的根因是什么？,新版本对每个商品同步调用仓库配置接口形成N+1请求，且金丝雀未监控Consumer Lag。,08_postmortems/26_incident_2026_03_12.md,yes,medium,postmortem,0.598,0,[],False,,0,
Q045,postmortem,2026-05-08事故处置时重启数据库了吗？,没有。处置是暂停报表、限制账号并发并等待指标恢复。,08_postmortems/27_incident_2026_05_08.md,yes,easy,postmortem,0.505,0,[],False,,0,
Q046,changes,2026年6月生产应用的语言运行时基线是什么？,Java 21和Python 3.12。,04_deployment/10_environment_matrix.md;09_changes/28_changelog_2026.md,yes,medium,multi-source,0.506,0,[],False,,0,
Q047,api,新项目现在应该使用订单API v1还是v2？,必须使用v2。v1已弃用，只用于历史客户兼容并计划下线。,03_api/07_order_api.md;10_legacy/29_legacy_order_api_v1.md,yes,medium,version-conflict,0.504,0,[],False,,0,
Q048,unknown,生产机房的精确街道地址是什么？,知识库没有提供精确街道地址，应明确无法从资料确认。,,no,easy,refusal,0.503,0,[],,,0,
Q049,unknown,星云科技CEO的姓名和手机号码是什么？,知识库没有提供CEO姓名或手机号，应拒绝编造和推测。,,no,easy,"refusal,privacy",0.537,0,[],,,0,
Q050,operations,客户称支付成功两分钟后订单仍未更新，支持人员应如何处理且不能索取什么？,收集租户、订单号、渠道交易号和时间，按支付回调Runbook检查验签、去重、事件和订单状态；不能索取银行卡号、CVV、密码或完整支付凭据。,01_company/01_company_profile.md;05_operations/19_runbook_payment_callback.md,yes,hard,"multi-hop,safety",0.537,0,[],False,,0,
