id,category,question,expected_answer,source_docs,answerable,difficulty,tags,latency_seconds,retrieved_count,retrieved_identifiers,hit_at_k,first_relevant_rank,reciprocal_rank,error
Q014,api,Webhook签名使用什么算法和拼接内容？,HMAC-SHA256，签名内容为timestamp加点号再加原始请求体。,03_api/06_authentication_api.md,yes,medium,exact,0.328,5,"[""07_product\\25_customer_faq.md"", ""03_api\\09_webhook_spec.md"", ""03_api\\06_authentication_api.md"", ""09_changes\\28_changelog_2026.md"", ""06_security\\22_secrets_management.md""]",True,3,0.333333,
Q015,api,创建订单成功返回什么HTTP状态码？,HTTP 201。,03_api/07_order_api.md,yes,easy,exact,0.32,5,"[""07_product\\25_customer_faq.md"", ""03_api\\07_order_api.md"", ""10_legacy\\29_legacy_order_api_v1.md"", ""02_architecture\\03_system_architecture.md"", ""03_api\\09_webhook_spec.md""]",True,2,0.5,
Q016,api,订单v2幂等键保留多久？,当前版本在同一租户内保留24小时。,03_api/07_order_api.md;09_changes/28_changelog_2026.md,yes,medium,version-conflict,0.353,5,"[""03_api\\07_order_api.md"", ""03_api\\09_webhook_spec.md"", ""02_architecture\\05_order_data_flow.md"", ""10_legacy\\29_legacy_order_api_v1.md"", ""07_product\\25_customer_faq.md""]",True,1,1.0,
Q017,api,同一个幂等键对应不同请求体会怎样？,返回HTTP 409和错误码ORDER_009。,03_api/07_order_api.md,yes,easy,edge-case,0.342,5,"[""07_product\\25_customer_faq.md"", ""03_api\\07_order_api.md"", ""07_product\\24_refund_policy.md"", ""01_company\\01_company_profile.md"", ""03_api\\09_webhook_spec.md""]",True,2,0.5,
Q018,api,已支付订单可以直接调用取消接口吗？,不可以，已支付订单必须走退款流程。,03_api/07_order_api.md,yes,easy,business-rule,0.39,5,"[""07_product\\25_customer_faq.md"", ""05_operations\\19_runbook_payment_callback.md"", ""05_operations\\18_runbook_kafka_backlog.md"", ""07_product\\24_refund_policy.md"", ""05_operations\\16_runbook_order_stuck.md""]",False,,0,
Q019,api,库存预占默认有效期是多少？,15分钟，超时后释放未确认预占。,03_api/08_inventory_api.md,yes,easy,metric,0.321,5,"[""03_api\\08_inventory_api.md"", ""07_product\\25_customer_faq.md"", ""03_api\\06_authentication_api.md"", ""05_operations\\14_monitoring_and_alerts.md"", ""05_operations\\15_oncall_handbook.md""]",True,1,1.0,
Q020,api,Webhook失败后的重试时间序列是什么？,1、5、30、120、600分钟，最多5次。,03_api/09_webhook_spec.md,yes,medium,exact,0.327,5,"[""03_api\\09_webhook_spec.md"", ""07_product\\25_customer_faq.md"", ""09_changes\\28_changelog_2026.md"", ""06_security\\22_secrets_management.md"", ""05_operations\\16_runbook_order_stuck.md""]",True,1,1.0,
Q021,api,人工重放Webhook会生成新的event_id吗？,不会，重放保留原始event_id，接收端必须幂等。,03_api/09_webhook_spec.md,yes,medium,edge-case,0.39,5,"[""03_api\\09_webhook_spec.md"", ""07_product\\25_customer_faq.md"", ""09_changes\\28_changelog_2026.md"", ""06_security\\22_secrets_management.md"", ""05_operations\\16_runbook_order_stuck.md""]",True,1,1.0,
Q022,deployment,生产服务最少部署几个副本？,至少3个副本。,04_deployment/11_kubernetes_deployment.md,yes,easy,kubernetes,0.332,5,"[""04_deployment\\11_kubernetes_deployment.md"", ""04_deployment\\10_environment_matrix.md"", ""01_company\\02_team_and_escalation.md"", ""06_security\\21_data_classification.md"", ""06_security\\20_access_control.md""]",True,1,1.0,
Q023,deployment,Java服务startup探针最长允许多久？,最长180秒。,04_deployment/11_kubernetes_deployment.md,yes,easy,kubernetes,0.298,5,"[""04_deployment\\11_kubernetes_deployment.md"", ""09_changes\\28_changelog_2026.md"", ""06_security\\22_secrets_management.md"", ""04_deployment\\10_environment_matrix.md"", ""02_architecture\\03_system_architecture.md""]",True,1,1.0,
Q024,deployment,金丝雀发布的放量顺序是什么？,5%、25%、50%、100%，每阶段至少观察10分钟。,04_deployment/12_release_and_rollback.md,yes,easy,release,0.337,5,"[""04_deployment\\12_release_and_rollback.md"", ""05_operations\\17_runbook_database_high_cpu.md"", ""01_company\\01_company_profile.md"", ""04_deployment\\10_environment_matrix.md"", ""05_operations\\19_runbook_payment_callback.md""]",True,1,1.0,
Q025,deployment,哪些指标会立即停止发布放量？,包括5xx较基线增加1个百分点、P95增加30%、订单成功率低于99%，或出现租户隔离/数据完整性告警。,04_deployment/12_release_and_rollback.md,yes,medium,release,0.364,5,"[""04_deployment\\12_release_and_rollback.md"", ""05_operations\\15_oncall_handbook.md"", ""04_deployment\\13_database_migration.md"", ""06_security\\20_access_control.md"", ""01_company\\02_team_and_escalation.md""]",True,1,1.0,
Q026,deployment,数据库回填在什么CPU条件下必须暂停？,数据库CPU超过80%并持续5分钟时暂停；复制延迟超过30秒或锁等待超过10秒也要暂停。,04_deployment/13_database_migration.md,yes,medium,database,0.378,5,"[""05_operations\\17_runbook_database_high_cpu.md"", ""04_deployment\\13_database_migration.md"", ""07_product\\25_customer_faq.md"", ""04_deployment\\11_kubernetes_deployment.md"", ""05_operations\\14_monitoring_and_alerts.md""]",True,2,0.5,
Q027,operations,什么情况属于P1事件？,核心功能大面积降级，影响超过20%活跃租户或持续超过15分钟。,05_operations/14_monitoring_and_alerts.md,yes,easy,incident,0.303,5,"[""07_product\\25_customer_faq.md"", ""05_operations\\14_monitoring_and_alerts.md"", ""01_company\\02_team_and_escalation.md"", ""05_operations\\15_oncall_handbook.md"", ""08_postmortems\\27_incident_2026_05_08.md""]",True,2,0.5,
Q028,operations,P1告警确认时间目标是多少？,10分钟。,05_operations/14_monitoring_and_alerts.md,yes,easy,incident,0.366,5,"[""05_operations\\15_oncall_handbook.md"", ""05_operations\\14_monitoring_and_alerts.md"", ""08_postmortems\\27_incident_2026_05_08.md"", ""04_deployment\\12_release_and_rollback.md"", ""01_company\\02_team_and_escalation.md""]",True,2,0.5,
Q029,operations,订单在PENDING_INVENTORY多久算异常候选？,超过2分钟。,05_operations/16_runbook_order_stuck.md,yes,easy,runbook,0.348,5,"[""05_operations\\16_runbook_order_stuck.md"", ""07_product\\25_customer_faq.md"", ""03_api\\08_inventory_api.md"", ""03_api\\07_order_api.md"", ""08_postmortems\\26_incident_2026_03_12.md""]",True,1,1.0,
Q030,operations,订单积压时把消费者从6扩到12之前要检查什么？,确认数据库CPU低于70%。,05_operations/16_runbook_order_stuck.md,yes,medium,runbook,0.35,5,"[""05_operations\\16_runbook_order_stuck.md"", ""05_operations\\18_runbook_kafka_backlog.md"", ""07_product\\25_customer_faq.md"", ""06_security\\21_data_classification.md"", ""05_operations\\15_oncall_handbook.md""]",True,1,1.0,
Q031,operations,只有一个Kafka分区积压时无限增加消费者有效吗？,无效。消费者数量超过分区数不能提高该分区吞吐，应检查分区不均或毒消息。,05_operations/18_runbook_kafka_backlog.md,yes,medium,reasoning,0.352,5,"[""05_operations\\18_runbook_kafka_backlog.md"", ""08_postmortems\\26_incident_2026_03_12.md"", ""05_operations\\16_runbook_order_stuck.md"", ""02_architecture\\03_system_architecture.md"", ""02_architecture\\04_service_catalog.md""]",True,1,1.0,
Q032,operations,可以直接跳过Kafka Offset来清除核心消息积压吗？,不可以。确需调整必须双重批准、导出影响范围并准备重放方案。,05_operations/18_runbook_kafka_backlog.md,yes,easy,safety,0.385,5,"[""05_operations\\18_runbook_kafka_backlog.md"", ""08_postmortems\\26_incident_2026_03_12.md"", ""05_operations\\16_runbook_order_stuck.md"", ""05_operations\\14_monitoring_and_alerts.md"", ""02_architecture\\03_system_architecture.md""]",True,1,1.0,
Q033,operations,支付成功但订单没更新时首先要核对哪些信息？,收集租户、订单号、渠道交易号和支付时间，再检查回调验签、去重记录、支付事件及订单状态。,05_operations/19_runbook_payment_callback.md,yes,medium,runbook,0.342,5,"[""05_operations\\19_runbook_payment_callback.md"", ""07_product\\24_refund_policy.md"", ""07_product\\25_customer_faq.md"", ""01_company\\01_company_profile.md"", ""09_changes\\28_changelog_2026.md""]",True,1,1.0,
Q034,operations,PostgreSQL CPU过高时能否直接重启主库？,不能。优先暂停回填和报表、限流异常租户并识别长查询。,05_operations/17_runbook_database_high_cpu.md,yes,easy,safety,0.316,5,"[""05_operations\\17_runbook_database_high_cpu.md"", ""02_architecture\\03_system_architecture.md"", ""05_operations\\16_runbook_order_stuck.md"", ""02_architecture\\04_service_catalog.md"", ""05_operations\\18_runbook_kafka_backlog.md""]",True,1,1.0,
Q035,security,普通研发申请生产临时写权限最长多久？,最长4小时，申请需包含工单、操作范围和回滚计划。,06_security/20_access_control.md,yes,easy,permission,0.366,5,"[""06_security\\20_access_control.md"", ""06_security\\22_secrets_management.md"", ""05_operations\\18_runbook_kafka_backlog.md"", ""07_product\\25_customer_faq.md"", ""04_deployment\\10_environment_matrix.md""]",True,1,1.0,
Q036,security,哪些数据属于L4严格机密？,密码、私钥、完整Token、支付敏感信息和加密主密钥。,06_security/21_data_classification.md,yes,easy,classification,0.36,5,"[""06_security\\21_data_classification.md"", ""10_legacy\\30_old_sla_2024.md"", ""06_security\\20_access_control.md"", ""04_deployment\\12_release_and_rollback.md"", ""01_company\\02_team_and_escalation.md""]",True,1,1.0,
Q037,security,发现API Key泄露后只删除聊天消息够吗？,不够。必须立即吊销或轮换、检查使用记录并通知安全团队。,06_security/20_access_control.md;06_security/22_secrets_management.md,yes,medium,safety,0.299,5,"[""07_product\\25_customer_faq.md"", ""06_security\\22_secrets_management.md"", ""06_security\\20_access_control.md"", ""03_api\\06_authentication_api.md"", ""03_api\\09_webhook_spec.md""]",True,2,0.5,
Q038,product,2026年企业版月度可用性目标是多少？,99.95%。应采用2026版有效SLA。,07_product/23_sla_and_support.md,yes,medium,version-conflict,0.318,5,"[""07_product\\23_sla_and_support.md"", ""10_legacy\\30_old_sla_2024.md"", ""09_changes\\28_changelog_2026.md"", ""04_deployment\\12_release_and_rollback.md"", ""05_operations\\14_monitoring_and_alerts.md""]",True,1,1.0,
Q039,product,2024年企业版历史SLA目标是多少？,历史政策为99.9%，但该文档已失效，当前规则不是这个数值。,10_legacy/30_old_sla_2024.md,yes,medium,historical,0.314,5,"[""10_legacy\\30_old_sla_2024.md"", ""07_product\\23_sla_and_support.md"", ""09_changes\\28_changelog_2026.md"", ""10_legacy\\29_legacy_order_api_v1.md"", ""01_company\\01_company_profile.md""]",True,1,1.0,
Q040,product,当前企业版P0首次响应时间是多少？,15分钟。,07_product/23_sla_and_support.md,yes,medium,version-conflict,0.311,5,"[""07_product\\23_sla_and_support.md"", ""10_legacy\\30_old_sla_2024.md"", ""05_operations\\14_monitoring_and_alerts.md"", ""04_deployment\\12_release_and_rollback.md"", ""05_operations\\15_oncall_handbook.md""]",True,1,1.0,
Q041,product,退款通常多久能到账？,通常1至3个工作日，具体取决于支付渠道。,07_product/24_refund_policy.md,yes,easy,business-rule,0.345,5,"[""07_product\\25_customer_faq.md"", ""07_product\\24_refund_policy.md"", ""05_operations\\18_runbook_kafka_backlog.md"", ""06_security\\21_data_classification.md"", ""06_security\\20_access_control.md""]",True,2,0.5,
Q042,product,多大金额的人工退款需要财务复核？,超过5000元人民币。,07_product/24_refund_policy.md,yes,easy,business-rule,0.29,5,"[""07_product\\24_refund_policy.md"", ""05_operations\\19_runbook_payment_callback.md"", ""05_operations\\14_monitoring_and_alerts.md"", ""05_operations\\15_oncall_handbook.md"", ""01_company\\01_company_profile.md""]",True,1,1.0,
Q043,product,客户为什么可能收到重复Webhook？,平台采用至少一次投递，网络重试可能重复；客户应按事件ID去重。,07_product/25_customer_faq.md;03_api/09_webhook_spec.md,yes,medium,multi-source,0.328,5,"[""07_product\\25_customer_faq.md"", ""03_api\\09_webhook_spec.md"", ""09_changes\\28_changelog_2026.md"", ""03_api\\06_authentication_api.md"", ""06_security\\22_secrets_management.md""]",True,1,1.0,
Q044,postmortem,2026-03-12库存积压的根因是什么？,新版本对每个商品同步调用仓库配置接口形成N+1请求，且金丝雀未监控Consumer Lag。,08_postmortems/26_incident_2026_03_12.md,yes,medium,postmortem,0.332,5,"[""08_postmortems\\26_incident_2026_03_12.md"", ""09_changes\\28_changelog_2026.md"", ""10_legacy\\30_old_sla_2024.md"", ""07_product\\25_customer_faq.md"", ""05_operations\\16_runbook_order_stuck.md""]",True,1,1.0,
Q045,postmortem,2026-05-08事故处置时重启数据库了吗？,没有。处置是暂停报表、限制账号并发并等待指标恢复。,08_postmortems/27_incident_2026_05_08.md,yes,easy,postmortem,0.311,5,"[""08_postmortems\\27_incident_2026_05_08.md"", ""08_postmortems\\26_incident_2026_03_12.md"", ""05_operations\\15_oncall_handbook.md"", ""09_changes\\28_changelog_2026.md"", ""06_security\\21_data_classification.md""]",True,1,1.0,
Q046,changes,2026年6月生产应用的语言运行时基线是什么？,Java 21和Python 3.12。,04_deployment/10_environment_matrix.md;09_changes/28_changelog_2026.md,yes,medium,multi-source,0.353,5,"[""09_changes\\28_changelog_2026.md"", ""10_legacy\\30_old_sla_2024.md"", ""07_product\\23_sla_and_support.md"", ""07_product\\25_customer_faq.md"", ""04_deployment\\12_release_and_rollback.md""]",True,1,1.0,
Q047,api,新项目现在应该使用订单API v1还是v2？,必须使用v2。v1已弃用，只用于历史客户兼容并计划下线。,03_api/07_order_api.md;10_legacy/29_legacy_order_api_v1.md,yes,medium,version-conflict,0.338,5,"[""10_legacy\\29_legacy_order_api_v1.md"", ""03_api\\06_authentication_api.md"", ""03_api\\09_webhook_spec.md"", ""03_api\\08_inventory_api.md"", ""03_api\\07_order_api.md""]",True,1,1.0,
Q048,unknown,生产机房的精确街道地址是什么？,知识库没有提供精确街道地址，应明确无法从资料确认。,,no,easy,refusal,0.286,5,"[""07_product\\25_customer_faq.md"", ""06_security\\20_access_control.md"", ""06_security\\21_data_classification.md"", ""01_company\\01_company_profile.md"", ""04_deployment\\10_environment_matrix.md""]",,,0,
Q049,unknown,星云科技CEO的姓名和手机号码是什么？,知识库没有提供CEO姓名或手机号，应拒绝编造和推测。,,no,easy,"refusal,privacy",0.338,5,"[""01_company\\01_company_profile.md"", ""01_company\\02_team_and_escalation.md"", ""07_product\\25_customer_faq.md"", ""05_operations\\19_runbook_payment_callback.md"", ""06_security\\21_data_classification.md""]",,,0,
Q050,operations,客户称支付成功两分钟后订单仍未更新，支持人员应如何处理且不能索取什么？,收集租户、订单号、渠道交易号和时间，按支付回调Runbook检查验签、去重、事件和订单状态；不能索取银行卡号、CVV、密码或完整支付凭据。,01_company/01_company_profile.md;05_operations/19_runbook_payment_callback.md,yes,hard,"multi-hop,safety",0.328,5,"[""07_product\\25_customer_faq.md"", ""05_operations\\15_oncall_handbook.md"", ""07_product\\24_refund_policy.md"", ""06_security\\20_access_control.md"", ""05_operations\\19_runbook_payment_callback.md""]",True,5,0.2,
